"student","course","condition","level","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"hmnguye3","CSC226-001-STADDON-S16","Ensemble_Delay",4,-0.97046915945764,-2.2620067617372,1.44322787269188,-0.306398087266716,-0.44281446022295,0.618180891453395,0.00774023829899809,0.396723170230693
"hmnguye3","CSC226-001-STADDON-S16","Ensemble_Delay",5,-0.0304516058582827,-2.19991417506559,1.56900301831016,-1.13926254405499,-0.61696980969287,0.375412147605971,-0.178969269765433,0.450700995283447
"hmnguye3","CSC226-001-STADDON-S16","Ensemble_Delay",6,1.17300905528304,-2.38853450092264,1.69949397319447,-1.36371135067504,-0.768303707654659,0.443602328777659,-0.298852677048301,0.510942997376321
"dfkromer","CSC226-001-STADDON-S16","Ensemble_Delay",1,-3.02126183731017,0.448238285846465,0.857768734914331,2.61057202875795,-0.140019991970207,-0.800452689654811,-0.204332967499593,-0.237698800940352
"dfkromer","CSC226-001-STADDON-S16","Ensemble_Delay",2,-2.46342432630065,-0.206911271625559,0.766604028552391,1.84438210342255,0.0661971343671103,-0.345945484514232,-0.22314246990371,-0.410237937503559
"dfkromer","CSC226-001-STADDON-S16","Ensemble_Delay",3,-0.515179897686979,-0.179349264066905,0.277626567182317,0.958769644293269,-0.214812918269753,0.476501399183585,-0.0300774791451696,-0.623301425768176
"dfkromer","CSC226-001-STADDON-S16","Ensemble_Delay",4,1.88487737097696,-0.139337425828739,0.746674498613004,-0.242675129969889,-0.441311198453566,0.785725205727921,0.0131416992736321,-0.681254562869577
"dfkromer","CSC226-001-STADDON-S16","Ensemble_Delay",5,5.99955203288481,0.518211132983999,0.503936446151716,-0.719504788335269,-1.302696092622,0.995981499114286,-0.592170207965874,-0.465810023259691
"dfkromer","CSC226-001-STADDON-S16","Ensemble_Delay",6,7.62077100648107,0.588146261493033,0.534415291285005,-1.30161042141106,-1.60155865517081,1.06007187874595,-0.575465949293323,-0.500608021514693
"jwmcadam","CSC226-001-STADDON-S16","Ensemble_Delay",1,-4.8451415950604,-1.22359528172774,1.83507574611566,-0.449166173102962,-0.903860736469433,0.579703037018838,-0.474866149587888,0.0559922166010483
"jwmcadam","CSC226-001-STADDON-S16","Ensemble_Delay",2,-4.12713096770599,-1.14149654497262,0.790777522830749,0.0724264427863471,-1.24574682727728,0.111951251946999,-0.0866089426749473,-0.30064897711769
